"","lhs","rhs","support","confidence"
"1","{jquery}","{java}",0.0545454545454545,0.611111111111111
"2","{jquery}","{c#}",0.0652892561983471,0.731481481481482
"3","{css}","{c++}",0.056198347107438,0.601769911504425
"4","{css}","{java}",0.0586776859504132,0.628318584070796
"5","{css}","{c#}",0.0636363636363636,0.68141592920354
"6","{mysql}","{c#}",0.11404958677686,0.737967914438503
"7","{html}","{c#}",0.13801652892562,0.695833333333333
"8","{php}","{c#}",0.165289256198347,0.664451827242525
"9","{python}","{c#}",0.180165289256198,0.685534591194969
"10","{c++}","{c#}",0.223140495867769,0.626450116009281
"11","{c++,css}","{c#}",0.0512396694214876,0.911764705882353
"12","{c#,css}","{c++}",0.0512396694214876,0.805194805194805
"13","{html,mysql}","{java}",0.0504132231404959,0.897058823529412
"14","{html,mysql}","{c#}",0.0528925619834711,0.941176470588235
"15","{mysql,php}","{c++}",0.0545454545454545,0.776470588235294
"16","{c++,mysql}","{php}",0.0545454545454545,0.694736842105263
"17","{mysql,php}","{java}",0.0586776859504132,0.835294117647059
"18","{java,mysql}","{php}",0.0586776859504132,0.645454545454546
"19","{mysql,php}","{c#}",0.0619834710743802,0.882352941176471
"20","{mysql,python}","{c++}",0.0504132231404959,0.717647058823529
"21","{c++,mysql}","{python}",0.0504132231404959,0.642105263157895
"22","{mysql,python}","{java}",0.0603305785123967,0.858823529411765
"23","{java,mysql}","{python}",0.0603305785123967,0.663636363636364
"24","{mysql,python}","{c#}",0.0644628099173554,0.917647058823529
"25","{c++,mysql}","{java}",0.0661157024793388,0.842105263157895
"26","{java,mysql}","{c++}",0.0661157024793388,0.727272727272727
"27","{c++,mysql}","{c#}",0.0702479338842975,0.894736842105263
"28","{c#,mysql}","{c++}",0.0702479338842975,0.615942028985507
"29","{java,mysql}","{c#}",0.0818181818181818,0.9
"30","{c#,mysql}","{java}",0.0818181818181818,0.717391304347826
"31","{html,php}","{python}",0.056198347107438,0.653846153846154
"32","{html,python}","{php}",0.056198347107438,0.660194174757282
"33","{html,php}","{c++}",0.0677685950413223,0.788461538461538
"34","{c++,html}","{php}",0.0677685950413223,0.625954198473282
"35","{html,php}","{java}",0.0677685950413223,0.788461538461538
"36","{html,java}","{php}",0.0677685950413223,0.602941176470588
"37","{html,php}","{c#}",0.0743801652892562,0.865384615384615
"38","{html,python}","{c++}",0.0603305785123967,0.70873786407767
"39","{html,python}","{java}",0.068595041322314,0.805825242718447
"40","{html,java}","{python}",0.068595041322314,0.610294117647059
"41","{html,python}","{c#}",0.0760330578512397,0.893203883495146
"42","{c++,html}","{java}",0.0809917355371901,0.748091603053435
"43","{html,java}","{c++}",0.0809917355371901,0.720588235294118
"44","{c++,html}","{c#}",0.0851239669421488,0.786259541984733
"45","{c#,html}","{c++}",0.0851239669421488,0.616766467065868
"46","{html,java}","{c#}",0.0958677685950413,0.852941176470588
"47","{c#,html}","{java}",0.0958677685950413,0.694610778443114
"48","{php,python}","{c++}",0.0702479338842975,0.745614035087719
"49","{php,python}","{java}",0.0735537190082645,0.780701754385965
"50","{php,python}","{c#}",0.084297520661157,0.894736842105263
"51","{c++,php}","{java}",0.0925619834710744,0.708860759493671
"52","{java,php}","{c++}",0.0925619834710744,0.654970760233918
"53","{c++,php}","{c#}",0.107438016528926,0.822784810126582
"54","{c#,php}","{c++}",0.107438016528926,0.65
"55","{java,php}","{c#}",0.109090909090909,0.771929824561403
"56","{c#,php}","{java}",0.109090909090909,0.66
