"","Post.Val","PostMonth","PostCount","Title"
"9","High",3,2900.94,"How to use the C socket API in C++ on z/OS"
"26","Low",8,86.4,"GTK implementation of MessageBox"
"27","Low",5,65.32,"BerkeleyDB Concurrency"
"30","Low",10,297.92,"Should I use nested classes in this case?"
"42","Low",5,398.37,"Build for Windows NT 4.0 using Visual Studio 2005?"
"63","Low",7,116.64,"Easy-to-Use Regular Expression Support in C++?"
"64","Low",6,309.65,"Heap corruption under Win32; how to locate?"
"65","Low",1,204.18,"Ensuring that Exceptions are always Caught"
"90","High",8,4511.36,"CPU throttling in C++"
"111","High",12,3024.25,"Lightweight IDE for Linux"
"128","Low",4,260.82,"How to set up unit testing for Visual Studio C++"
"131","High",10,1450.68,"How do you pack a visual studio c++ project for release?"
"132","High",10,5813.32,"C/C++ library for reading MIDI signals from a USB MIDI device"
"160","Low",9,137.04,"What is the best way to create a sparse array in C++?"
"208","High",8,2699.73,"What are the barriers to understanding pointers and what can be done to overcome them?"
"216","High",6,10180.2,"Link issues (VC6)"
"247","High",8,17807.04,"Thread safe lazy construction of a singleton in C++"
"256","Low",3,154.38,"Alpha blending sprites in Nintendo DS Homebrew"
"265","Low",4,50.2,"How do I make a GUI?"
"267","Low",3,270,"Of Memory Management, Heap Corruption, and C++"
"272","High",11,7727.04,"Windows C++: How can I redirect stderr for calls to fprintf?"
"279","Low",8,206.28,"How do you open a file in C++?"
"291","High",7,1897.98,"I can't get my debugger to stop breaking on first-chance exceptions"
"296","Low",1,74.21,"MSVC6: Breakpoint stops program - WTF?"
"298","Low",10,106.11,"Secure Memory Allocator in C++"
"311","High",2,743.5,"Should I move from C++ to Python? ... Or another language?"
"334","Low",1,367.54,"How do you create a static class in C++?"
"342","High",9,1210.26,"any good tool for makefile generation?"
"344","Low",2,559.8,"Playing wave file ends immediately (C++, Windows)"
"346","Low",5,390.72,"Validating a Win32 Window Handle"
"351","High",11,2674.67,"Generic iterator"
"353","High",6,4919.6,"Removing icon from Windows title bars without ditching close button or system menu?"
"377","High",2,1289.85,"Any good advice on using emacs for C++ project?"
"383","Low",12,100.1,"How to prevent an object being created on the heap?"
"385","Low",7,195.4,"How should I unit test a code-generator?"
"387","High",3,2519.16,"In C++/Windows how do I get the network name of the computer I'm on?"
"394","High",4,1319.8,"GCC problem : using a member of a base class that depends on a template argument"
"396","Low",5,362.78,"String To Lower/Upper in C++"
"400","High",6,917.46,"How to overload std::swap()"
"403","High",5,2365.78,"Case insensitive string comparison in C++"
"410","Low",10,34.08,"Inheritance and Polymorphism - Ease of use vs Purity"
"420","High",11,9796.8,"_wfopen equivalent under Mac OS X"
"421","Low",7,98.31,"In a C/C++ program how does the system (windows, linux, mac OS X) call the main() function"
"426","Low",6,49.13,"Windows/C++: How do I determine the share name associated with a shared drive?"
