AcceptedAnswerId,AnswerCount,CommentCount,CommunityOwnedDate,CreationDate,FavoriteCount,Id,Important,LastActivityDate,LastEditDate,LastEditorDisplayName,LastEditorUserId,OwnerUserId,PostTypeId,Score,Tags,Title,ViewCount,,
Yes,15,0,2012-10-31T16:42:47.213,07/31/2008,100,4,unknown,2016-02-11T04:17:34.323,2015-12-23T21:34:28.557,Rich B,5455605,8,1,385,c#,When setting a form's opacity should I use a decimal or double?,10,,
Yes,5,0,,07/31/2008,100,6,unknown,2016-01-18T16:11:20.333,2016-01-18T16:11:20.333,Rich B,5348281,9,1,173,html,Percentage width child element in absolutely positioned parent on IE7,10,,
Yes,15,5,2011-08-16T19:40:43.080,07/31/2008,1000,9,unknown,2016-02-07T00:18:38.077,2015-01-15T21:43:12.603,Rich B,1620220,1,1,1194,c#,How do I calculate someone's age in C#?,100,,
Yes,15,5,2009-09-04T13:15:59.820,07/31/2008,1000,11,unknown,2016-02-11T04:11:23.027,2015-12-29T02:08:37.450,user2370523,1136709,1,1,994,c#,How can relative time be calculated in C#?,100,,
Yes,15,0,,08/01/2008,1000,13,unknown,2016-02-11T04:13:22.413,2015-06-05T06:26:25.383,Rich B,2518525,9,1,384,html,Determining a web user's time zone,100,,
Yes,5,0,,08/01/2008,100,16,unknown,2014-10-10T06:02:15.453,2012-05-04T09:01:26.053,Rich B,1039608,2,1,56,c#,Filling a DataSet or DataTable from a LINQ query result set,50,,
Yes,15,0,,08/01/2008,100,17,unknown,2016-01-27T23:27:39.423,2011-10-21T21:29:17.160,Chris Fournier,546051,2,1,85,mysql,Binary Data in MySQL,10,,
Yes,5,0,,08/01/2008,100,24,unknown,2016-01-28T16:40:11.720,2012-05-25T20:50:23.130,Chris Jester-Young,63550,22,1,69,mysql,Throw an error in a MySQL trigger,10,,
Yes,15,0,,08/01/2008,100,25,unknown,2016-02-11T04:09:37.173,2015-04-10T15:25:02.013,Jim Anderson,23,23,1,74,c++,How to use the C socket API in C++ on z/OS,10,,
Yes,5,0,,08/01/2008,100,39,unknown,2014-01-17T09:33:10.450,2012-05-25T20:55:43.157,Mark Harrison,63550,33,1,43,c#,Reliable timer in a console application,10,,
Yes,5,0,,08/01/2008,100,42,unknown,2015-12-14T20:05:51.823,2015-12-14T20:05:51.823,Jim Anderson,4595675,37,1,182,php,Best way to allow plugins for a PHP application,10,,
Yes,15,0,,08/01/2008,100,48,unknown,2016-02-11T04:06:23.387,2014-07-14T07:46:45.920,Vaibhav,2354564,40,1,167,html,Multiple submit buttons in an HTML form,100,,
Yes,5,0,,08/01/2008,100,59,unknown,2014-08-19T23:17:56.597,2014-01-01T16:43:44.793,kevin d,885318,45,1,49,c#,"How do I get a distinct, ordered list of names from a DataTable using LINQ?",10,,
Yes,15,0,,08/01/2008,100,85,unknown,2015-08-24T17:50:22.107,2013-10-04T01:17:44.297,Keith,243557,59,1,67,php,Flat File Databases,10,,
Yes,5,0,,08/01/2008,100,109,unknown,2015-01-08T17:02:44.503,2015-01-08T16:27:49.863,Mark Biek,63550,71,1,25,c#,Decoding T-SQL CAST in C#/VB.NET,10,,
Yes,15,0,,08/01/2008,100,123,unknown,2016-01-27T06:06:59.420,2015-10-27T09:34:09.503,Keith,2553431,78,1,64,java,Java lib or app to convert CSV to XML file?,50,,
Yes,15,0,,08/01/2008,100,126,unknown,2015-11-15T17:36:30.327,2010-01-20T08:27:13.130,Gaius,202431,58,1,51,java,How would you access Object properties from within an object method?,10,,
No,5,5,,08/01/2008,100,129,unknown,2015-10-10T10:25:12.217,2015-10-10T10:25:12.217,Gaius,4800955,48,1,59,mysql,How to export data from SQL Server 2005 to MySQL,50,,
No,5,0,2014-04-04T13:02:49.830,08/01/2008,100,145,unknown,2016-01-20T15:31:50.297,2014-09-13T13:14:05.237,modesty,87,87,1,24,c#,Compressing / Decompressing Folders & Files,10,,
Yes,5,0,,08/01/2008,100,146,unknown,2015-11-18T14:43:47.770,2013-10-04T01:17:13.687,saint_groceon,243557,30,1,35,php,How do I track file downloads,10,,
No,5,0,,08/01/2008,100,174,unknown,2013-11-17T16:04:14.930,2012-01-06T21:25:44.727,user1645055,707111,96,1,48,c#,How do I print an HTML document from a web service?,10,,
Yes,5,0,,08/01/2008,100,192,unknown,2012-05-04T09:26:51.287,2012-05-04T09:26:51.287,Gaius,1039608,91,1,37,c#,Floating Point Number parsing: Is there a Catch All algorithm?,10,,
Yes,15,0,,08/01/2008,100,227,unknown,2015-10-26T16:26:16.900,2012-06-28T08:11:23.453,user1645055,500729,146637,1,38,php,What's the best way to generate a tag cloud from an array using h1 through h6 for sizing?,10,,
Yes,5,0,,08/01/2008,100,234,unknown,2014-11-25T20:58:58.163,2014-11-25T20:58:58.163,Adam Mitz,2641576,91,1,46,mysql,SQL Server 2005 implementation of MySQL REPLACE INTO?,10,,
Yes,5,0,,08/01/2008,100,260,unknown,2014-01-02T14:33:21.153,2010-11-26T15:10:35.897,Jeff Atwood,63550,91,1,47,c#,Adding scripting functionality to .NET applications,10,,
Yes,5,0,,08/01/2008,100,263,unknown,2012-05-04T09:35:11.603,2012-05-04T09:35:11.603,Leon Bambrick,1039608,61,1,19,c++,GTK implementation of MessageBox,10,,
No,5,0,,08/01/2008,100,264,unknown,2013-11-25T13:52:15.357,2013-05-30T02:11:52.237,Jeff Atwood,2405641,104,1,16,c++,BerkeleyDB Concurrency,10,,
Yes,15,0,,08/02/2008,1000,289,unknown,2016-02-26T07:38:16.477,2015-03-13T10:50:20.450,Gaius,3302711,109,1,503,c#,How do you sort a dictionary by value?,100,,
