AcceptedAnswerId,AnswerCount,CommentCount,CommunityOwnedDate,CreationDate,FavoriteCount,Id,LastActivityDate,LastEditDate,LastEditorDisplayName,LastEditorUserId,OwnerUserId,PostTypeId,Score,Tags,Title,ViewCount,,
Yes,13,1,2012-10-31T16:42:47.213,07/31/2008,30,4,2016-02-11T04:17:34.323,2015-12-23T21:34:28.557,Rich B,5455605,8,1,385,c#,When setting a form's opacity should I use a decimal or double?,26265,,
Yes,5,0,,07/31/2008,7,6,2016-01-18T16:11:20.333,2016-01-18T16:11:20.333,Rich B,5348281,9,1,173,html,Percentage width child element in absolutely positioned parent on IE7,12787,,
Yes,54,5,2011-08-16T19:40:43.080,07/31/2008,297,9,2016-02-07T00:18:38.077,2015-01-15T21:43:12.603,Rich B,1620220,1,1,1194,c#,How do I calculate someone's age in C#?,305072,,
Yes,33,11,2009-09-04T13:15:59.820,07/31/2008,496,11,2016-02-11T04:11:23.027,2015-12-29T02:08:37.450,user2370523,1136709,1,1,994,c#,How can relative time be calculated in C#?,104400,,
Yes,23,3,,08/01/2008,116,13,2016-02-11T04:13:22.413,2015-06-05T06:26:25.383,Rich B,2518525,9,1,384,html,Determining a web user's time zone,111349,,
Yes,5,0,,08/01/2008,9,16,2014-10-10T06:02:15.453,2012-05-04T09:01:26.053,Chris Fournier,1039608,2,1,56,c#,Filling a DataSet or DataTable from a LINQ query result set,65032,,
Yes,10,0,,08/01/2008,10,17,2016-01-27T23:27:39.423,2011-10-21T21:29:17.160,,546051,2,1,85,mysql,Binary Data in MySQL,37551,,
Yes,4,0,,08/01/2008,14,24,2016-01-28T16:40:11.720,2012-05-25T20:50:23.130,Jim Anderson,63550,22,1,69,mysql,Throw an error in a MySQL trigger,33505,,
Yes,10,0,,08/01/2008,3,25,2016-02-11T04:09:37.173,2015-04-10T15:25:02.013,,23,23,1,74,c++,How to use the C socket API in C++ on z/OS,6244,,
Yes,2,0,,08/01/2008,2,39,2014-01-17T09:33:10.450,2012-05-25T20:55:43.157,Jim Anderson,63550,33,1,43,c#,Reliable timer in a console application,3505,,
Yes,8,0,,08/01/2008,98,42,2015-12-14T20:05:51.823,2015-12-14T20:05:51.823,Vaibhav,4595675,37,1,182,php,Best way to allow plugins for a PHP application,22950,,
Yes,19,0,,08/01/2008,29,48,2016-02-11T04:06:23.387,2014-07-14T07:46:45.920,kevin d,2354564,40,1,167,html,Multiple submit buttons in an HTML form,157534,,
Yes,5,0,,08/01/2008,2,59,2014-08-19T23:17:56.597,2014-01-01T16:43:44.793,Keith,885318,45,1,49,c#,"How do I get a distinct, ordered list of names from a DataTable using LINQ?",19787,,
Yes,13,0,,08/01/2008,14,85,2015-08-24T17:50:22.107,2013-10-04T01:17:44.297,saint_groceon,243557,59,1,67,php,Flat File Databases,28114,,
Yes,2,3,,08/01/2008,0,109,2015-01-08T17:02:44.503,2015-01-08T16:27:49.863,Jeff Atwood,63550,71,1,25,c#,Decoding T-SQL CAST in C#/VB.NET,4161,,
Yes,16,2,,08/01/2008,16,123,2016-01-27T06:06:59.420,2015-10-27T09:34:09.503,Jeff Atwood,2553431,78,1,64,java,Java lib or app to convert CSV to XML file?,53544,,
Yes,18,0,,08/01/2008,3,126,2015-11-15T17:36:30.327,2010-01-20T08:27:13.130,Gaius,202431,58,1,51,java,How would you access Object properties from within an object method?,7374,,
No,5,6,,08/01/2008,22,129,2015-10-10T10:25:12.217,2015-10-10T10:25:12.217,Mark Harrison,4800955,48,1,59,mysql,How to export data from SQL Server 2005 to MySQL,88621,,
