"","AcceptedAnswerId","AnswerCount","CommentCount","FavoriteCount","Important","Score","Tags","Title","ViewCount","OwnerUserId","rankpred"
"252","Yes",15,0,1000,"unknown",3225,"c#","What's the difference between String and string?",100,571,1
"888","Yes",5,0,100,"unknown",22,"android","Using ItemizedOverlay and OverlayItem In Android Beta 0.9",10,822,1
"2591","No",5,0,100,"unknown",24,"android","Moving to Android from J2ME",10,0,1
"4123","No",5,0,100,"unknown",13,"android","How well does the Android Phone Emulator reflect the performance?",10,0,1
"4552","Yes",15,0,1000,"unknown",2203,"html","Horizontally center a div in another div with width: 100%",100,20403,1
"5491","No",15,5,2000,"unknown",2661,"html","Href attribute for JavaScript links: ""#"" or ""javascript:void(0)""?",100,8018,1
"5938","Yes",5,0,100,"unknown",40,"android","Getting started with Android",10,1965,1
"6280","Yes",5,0,100,"unknown",7,"android","Porting Android's Java VM to the iPhone?",10,5291,1
"6315","Yes",15,0,1000,"unknown",1455,"android","Saving Activity state on Android",100,61,1
"2022","Yes",15,0,100,"unknown",78,"android","What work has been done on cross-platform mobile development?",10,654,0.999999999999891
"1490","No",15,10,2000,"unknown",2974,"java","Is Java ""pass-by-reference"" or ""pass-by-value""?",100,4315,0.999999999999501
"1077","Yes",15,0,100,"unknown",45,"android","Is there a multiplatform framework for developing iPhone / Android applications?",50,3022,0.999999999987259
"2365","Yes",15,0,2000,"unknown",2788,"mysql","How can I prevent SQL-injection in PHP?",100,428190,0.999999999987127
"974","Yes",15,0,100,"unknown",34,"android","Proxy which requires authentication with Android Emulator",50,1281,0.999999999985537
"2808","Yes",5,5,1000,"unknown",791,"html","Why don't self-closing script tags work?",50,10778,0.999999999980191
"108","Yes",15,5,1000,"unknown",1382,"html","How do you disable browser Autocomplete on web form field / input tag?",100,307,0.999999999900967
"3977","Yes",15,0,2000,"unknown",2732,"python","What is a metaclass in Python?",100,9951,0.999999999819961
"5981","Yes",5,0,100,"unknown",4,"html","What's the future of the web? XHTML 2, HTML 5, or something else?",10,2486915,0.999999999725112
"1284","Yes",5,0,100,"unknown",15,"html","What is a good online resource for css 'design patterns'?",10,1349865,0.99999999883202
"736","Yes",5,0,100,"unknown",6,"html","Table cells larger than they are meant to be",10,1384652,0.999999998767602
"837","Yes",5,0,100,"unknown",6,"html","Tooltips on an image",10,1384652,0.999999998767602
"653","No",5,0,100,"unknown",5,"html","Click an image, get coordinates",10,1384652,0.99999999875359
"2","Yes",5,0,100,"unknown",173,"html","Percentage width child element in absolutely positioned parent on IE7",10,9,0.999999998736287
"5719","Yes",5,0,100,"unknown",1,"html","Delayed jump",10,1384652,0.999999998695931
"4722","Yes",5,0,100,"unknown",2,"html","Best way to rotate content within a DIV using JavaScript?",10,1200605,0.999999998337244
"5305","Yes",5,0,100,"unknown",90,"html","How can one close HTML tags in Vim quickly?",10,10098,0.999999996814925
"5161","No",5,0,100,"unknown",77,"html","What guidelines for HTML email design are there?",10,2105,0.999999996269688
"53","Yes",5,0,100,"unknown",76,"html","How can I detect which font was used in a web page?",10,238,0.999999996217531
"2831","Yes",15,0,1000,"unknown",1113,"html","What are valid values for the id attribute in HTML?",100,6093,0.999999996055167
"1341","Yes",5,0,100,"unknown",71,"html","What is currently the best way to get a favicon to display in all browsers that support Favicons?",10,177,0.99999999599722
