AcceptedAnswerId,AnswerCount,CommentCount,CommunityOwnedDate,CreationDate,_FavoriteCount,_Id,_Important,_LastActivityDate,_LastEditDate,_LastEditorDisplayName,_LastEditorUserId,_OwnerUserId,_PostTypeId,Score,Tags,_Title,ViewCount
Yes,13,0,2012-10-31T16:42:47.213,10/13/10,100,4,unknown,2016-02-11T04:17:34.323,2015-12-23T21:34:28.557,Rich B,5455605,8,1,233.64,c#,When setting a form's opacity should I use a decimal or double?,10
Yes,5,0,,10/1/12,100,6,unknown,2016-01-18T16:11:20.333,2016-01-18T16:11:20.333,Rich B,5348281,9,1,10199.84,html,Percentage width child element in absolutely positioned parent on IE7,10
Yes,54,5,2011-08-16T19:40:43.080,10/1/12,1000,9,unknown,2016-02-07T00:18:38.077,2015-01-15T21:43:12.603,Rich B,1620220,1,1,234.63,c#,How do I calculate someone's age in C#?,100
Yes,33,5,2009-09-04T13:15:59.820,7/10/11,1000,11,unknown,2016-02-11T04:11:23.027,2015-12-29T02:08:37.450,user2370523,1136709,1,1,5879.7,c#,How can relative time be calculated in C#?,100
Yes,23,0,,8/28/10,1000,13,unknown,2016-02-11T04:13:22.413,2015-06-05T06:26:25.383,Rich B,2518525,9,1,413.82,html,Determining a web user's time zone,100
Yes,5,0,,8/28/10,100,16,unknown,2014-10-10T06:02:15.453,2012-05-04T09:01:26.053,Chris Fournier,1039608,2,1,139.44,c#,Filling a DataSet or DataTable from a LINQ query result set,50
Yes,10,0,,6/17/11,100,17,unknown,2016-01-27T23:27:39.423,2011-10-21T21:29:17.160,,546051,2,1,87.6,mysql,Binary Data in MySQL,10
Yes,4,0,,6/17/11,100,24,unknown,2016-01-28T16:40:11.720,2012-05-25T20:50:23.130,Jim Anderson,63550,22,1,940.72,mysql,Throw an error in a MySQL trigger,10
Yes,10,0,,3/24/11,100,25,unknown,2016-02-11T04:09:37.173,2015-04-10T15:25:02.013,,23,23,1,2900.94,c++,How to use the C socket API in C++ on z/OS,10
Yes,2,0,,2/26/10,100,39,unknown,2014-01-17T09:33:10.450,2012-05-25T20:55:43.157,Jim Anderson,63550,33,1,219.12,c#,Reliable timer in a console application,10
Yes,8,0,,11/23/10,100,42,unknown,2015-12-14T20:05:51.823,2015-12-14T20:05:51.823,Vaibhav,4595675,37,1,192.6,php,Best way to allow plugins for a PHP application,10
Yes,19,0,,11/23/10,100,48,unknown,2016-02-11T04:06:23.387,2014-07-14T07:46:45.920,kevin d,2354564,40,1,126.4,html,Multiple submit buttons in an HTML form,100
Yes,5,0,,6/8/12,100,59,unknown,2014-08-19T23:17:56.597,2014-01-01T16:43:44.793,Keith,885318,45,1,696.96,c#,"How do I get a distinct, ordered list of names from a DataTable using LINQ?",10
Yes,13,0,,6/8/12,100,85,unknown,2015-08-24T17:50:22.107,2013-10-04T01:17:44.297,saint_groceon,243557,59,1,1487.38,php,Flat File Databases,10
Yes,2,0,,8/4/12,100,109,unknown,2015-01-08T17:02:44.503,2015-01-08T16:27:49.863,Jeff Atwood,63550,71,1,79.2,c#,Decoding T-SQL CAST in C#/VB.NET,10
Yes,16,0,,5/30/11,100,123,unknown,2016-01-27T06:06:59.420,2015-10-27T09:34:09.503,Jeff Atwood,2553431,78,1,1834.94,java,Java lib or app to convert CSV to XML file?,50
Yes,18,0,,11/25/09,100,126,unknown,2015-11-15T17:36:30.327,2010-01-20T08:27:13.130,Gaius,202431,58,1,251.84,java,How would you access Object properties from within an object method?,10
No,5,5,,2/14/12,100,129,unknown,2015-10-10T10:25:12.217,2015-10-10T10:25:12.217,Mark Harrison,4800955,48,1,4443.12,mysql,How to export data from SQL Server 2005 to MySQL,50
No,8,0,2014-04-04T13:02:49.830,2/14/12,100,145,unknown,2016-01-20T15:31:50.297,2014-09-13T13:14:05.237,kevin d,87,87,1,785.07,c#,Compressing / Decompressing Folders & Files,10
Yes,7,0,,4/15/12,100,146,unknown,2015-11-18T14:43:47.770,2013-10-04T01:17:13.687,,243557,30,1,989.85,php,How do I track file downloads,10
